annotation	node
a00000372	18205
a00000373	18206
a00000374	18207
a00000375	18208
a00000376	18209
a00000377	18210
a00000378	18211
a00000379	18212
a00000380	18213
a00000381	18214
a00000382	18215
a00000383	18216
a00000384	18217
a00000385	18218
a00000386	18219
a00000387	18220
a00000388	18221
a00000389	18222
a00000390	18223
a00000391	18224
a00000392	18225
a00000393	18226
a00000394	18227
a00000395	18228
a00000396	18229
a00000397	18230
a00000398	18231
a00000399	18232
a00000400	18233
a00000401	18234
a00000402	18235
a00000403	18236
a00000404	18237
a00000405	18238
a00000406	18239
a00000407	18240
a00000408	18241
a00000409	18242
a00000410	18243
a00000411	18244
a00000412	18245
a00000413	18246
a00000414	18247
a00000415	18248
a00000416	18249
a00000417	18250
a00000418	18251
a00000419	18252
a00000420	18253
a00000421	18254
a00000422	18255
a00000423	18256
a00000424	18257
a00000425	18258
a00000426	18259
a00000427	18260
a00000428	18261
a00000429	18262
a00000430	18263
a00000431	18264
a00000432	18265
a00000433	18266
a00000434	18267
a00000435	18268
a00000436	18269
a00000437	18270
a00000438	18271
a00000439	18272
a00000440	18273
a00000441	18274
a00000442	18275
a00000443	18276
a00000444	18277
a00000445	18278
a00000446	18279
a00000447	18280
a00000448	18281
a00000449	18282
a00000450	18283
a00000451	18284
a00000452	18285
a00000453	18286
a00000454	18287
a00000455	18288
a00000456	18289
a00000457	18290
a00000458	18291
a00000459	18292
a00000460	18293
a00000461	18294
a00000462	18295
a00000463	18296
a00000464	18297
a00000465	18298
a00000466	18299
a00000467	18300
a00000468	18301
a00000469	18302
a00000470	18303
a00000471	18304
a00000472	18305
a00000473	18306
a00000474	18307
a00000475	18308
a00000476	18309
a00000477	18310
a00000478	18311
a00000479	18312
a00000480	18313
a00000481	18314
a00000482	18315
a00000483	18316
a00000484	18317
a00000485	18318
a00000486	18319
a00000487	18320
a00000488	18321
a00000489	18322
a00000490	18323
a00000491	18324
a00000492	18325
a00000493	18326
a00000494	18327
a00000495	18328
a00000496	18329
a00000497	18330
a00000498	18331
a00000499	18332
a00000500	18333
a00000501	18334
a00000502	18335
a00000503	18336
a00000504	18337
a00000505	18338
a00000506	18339
a00000507	18340
a00000508	18341
a00000509	18342
a00000510	18343
a00000511	18344
a00000512	18345
a00000513	18346
a00000514	18347
a00000515	18348
a00000516	18349
a00000517	18350
a00000518	18351
a00000519	18352
a00000520	18353
a00000521	18354
a00000522	18355
a00000523	18356
a00000524	18357
a00000525	18358
a00000526	18359
a00000527	18360
a00000528	18361
a00000529	18362
a00000530	18363
a00000531	18364
a00000532	18365
a00000533	18366
a00000534	18367
a00000535	18368
a00000536	18369
a00000537	18370
a00000538	18371
a00000539	18372
a00000540	18373
a00000541	18374
a00000542	18375
a00000543	18376
a00000544	18377
a00000545	18378
a00000546	18379
a00000547	18380
a00000548	18381
a00000549	18382
a00000550	18383
a00000551	18384
a00000552	18385
a00000553	18386
a00000554	18387
a00000555	18388
a00000556	18389
a00000557	18390
a00000558	18391
a00000559	18392
a00000560	18393
a00000561	18394
a00000562	18395
a00000563	18396
a00000564	18397
a00001517	18398
a00000954	18399
a00000955	18400
a00000956	18401
a00000957	18402
a00000958	18403
a00000959	18404
a00000960	18405
a00000961	18406
a00000962	18407
a00000963	18408
a00000964	18409
a00000965	18410
a00000966	18411
a00000967	18412
a00000968	18413
a00000969	18414
a00000970	18415
a00000971	18416
a00000972	18417
a00000973	18418
a00000974	18419
a00000975	18420
a00000976	18421
a00000977	18422
a00000978	18423
a00000979	18424
a00000980	18425
a00000981	18426
a00000982	18427
a00001228	18428
a00001229	18429
a00001230	18430
a00001231	18431
a00001232	18432
a00001233	18433
a00001234	18434
a00001235	18435
a00001236	18436
a00001237	18437
a00001238	18438
a00001239	18439
a00001240	18440
a00001241	18441
a00001242	18442
a00001243	18443
a00001244	18444
a00001245	18445
a00001246	18446
a00001247	18447
a00001248	18448
a00001249	18449
a00001250	18450
a00001251	18451
a00001252	18452
a00001253	18453
a00001254	18454
a00001255	18455
a00000999	18456
a00001000	18457
a00001001	18458
a00001002	18459
a00001003	18460
a00001004	18461
a00001005	18462
a00001006	18463
a00001007	18464
a00001008	18465
a00001009	18466
a00001010	18467
a00001011	18468
a00001012	18469
a00002334	18470
a00002335	18471
a00002336	18472
a00002337	18473
a00002338	18474
a00002339	18475
a00002340	18476
a00002341	18477
a00002342	18478
a00002343	18479
a00002344	18480
a00002345	18481
a00002346	18482
a00002347	18483
a00001519	18484
a00001520	18485
a00001521	18486
a00001522	18487
a00001523	18488
a00001524	18489
a00001525	18490
a00001526	18491
a00001527	18492
a00001528	18493
a00001529	18494
a00001530	18495
a00001531	18496
a00001532	18497
a00001533	18498
a00001534	18499
a00001535	18500
a00001536	18501
a00001537	18502
a00001538	18503
a00001539	18504
a00001540	18505
a00001541	18506
a00001542	18507
a00001543	18508
a00001544	18509
a00001424	18510
a00001425	18511
a00001426	18512
a00001427	18513
a00001428	18514
a00001429	18515
a00002061	18516
a00002062	18517
a00002063	18518
a00002064	18519
a00002065	18520
a00002066	18521
a00002067	18522
a00002068	18523
a00002069	18524
a00002070	18525
a00002071	18526
a00002072	18527
a00002073	18528
a00002074	18529
a00002075	18530
a00002076	18531
a00002077	18532
a00002078	18533
a00002079	18534
a00002080	18535
a00002081	18536
a00002082	18537
a00002083	18538
a00002084	18539
a00002085	18540
a00002086	18541
a00002087	18542
a00002088	18543
a00002222	18544
a00002223	18545
a00002224	18546
a00002225	18547
a00002226	18548
a00002227	18549
a00002228	18550
a00002229	18551
a00002230	18552
a00001190	18553
a00001191	18554
a00001192	18555
a00001193	18556
a00001194	18557
a00001195	18558
a00001196	18559
a00001197	18560
a00001198	18561
a00001199	18562
a00000069	18563
a00000070	18564
a00000071	18565
a00000072	18566
a00000073	18567
a00000074	18568
a00000075	18569
a00000076	18570
a00000077	18571
a00000078	18572
a00000079	18573
a00000080	18574
a00000081	18575
a00000082	18576
a00000083	18577
a00000084	18578
a00000085	18579
a00000086	18580
a00000087	18581
a00000088	18582
a00000089	18583
a00000090	18584
a00000091	18585
a00000092	18586
a00000093	18587
a00000094	18588
a00000095	18589
a00000096	18590
a00000097	18591
a00000098	18592
a00002089	18593
a00002090	18594
a00002091	18595
a00002092	18596
a00002093	18597
a00002094	18598
a00002095	18599
a00002096	18600
a00002097	18601
a00002098	18602
a00002099	18603
a00002100	18604
a00002101	18605
a00002102	18606
a00002103	18607
a00002104	18608
a00002105	18609
a00002106	18610
a00002107	18611
a00002108	18612
a00002109	18613
a00002110	18614
a00002111	18615
a00002112	18616
a00002113	18617
a00002114	18618
a00002115	18619
a00002116	18620
a00001518	18621
a00002348	18622
a00002349	18623
a00001214	18624
a00001215	18625
a00001216	18626
a00001217	18627
a00001218	18628
a00001219	18629
a00001220	18630
a00001221	18631
a00001222	18632
a00001223	18633
a00001224	18634
a00001225	18635
a00001226	18636
a00001227	18637
a00000005	18638
a00000006	18639
a00000007	18640
a00000008	18641
a00000009	18642
a00000010	18643
a00000011	18644
a00000012	18645
a00000013	18646
a00000014	18647
a00000015	18648
a00000016	18649
a00000017	18650
a00000018	18651
a00000019	18652
a00000020	18653
a00000799	18654
a00000800	18655
a00000801	18656
a00000802	18657
a00000803	18658
a00000804	18659
a00000805	18660
a00000806	18661
a00000807	18662
a00000808	18663
a00000809	18664
a00000810	18665
a00000811	18666
a00000812	18667
