pubPlace	-----	pure
publicationStmt	-----	pure
publisher	-----	pure
punctuation	-----	pure
purpose	complex	mixed
q	-----	pure
quotation	-----	pure
quote	-----	pure
rb	-----	pure
rdg	complex	mixed
rdgGrp	complex	pure
re	complex	mixed
recordHist	complex	pure
recording	complex	pure
recordingStmt	complex	pure
redo	-----	pure
ref	-----	pure
refState	complex	pure
refsDecl	complex	pure
reg	-----	pure
region	complex	mixed
relatedItem	complex	pure
relation	complex	pure
remarks	complex	pure
rendition	complex	mixed
repository	complex	mixed
residence	complex	mixed
resp	complex	mixed
respStmt	complex	pure
respons	complex	pure
restore	-----	pure
retrace	-----	pure
revisionDesc	-----	pure
rhyme	complex	mixed
role	complex	mixed
roleDesc	complex	mixed
roleName	complex	mixed
root	complex	pure
row	-----	pure
rs	-----	pure
rt	-----	pure
rubric	complex	mixed
ruby	-----	pure
s	complex	mixed
said	complex	mixed
salute	-----	pure
samplingDecl	complex	pure
schemaRef	-----	pure
schemaSpec	complex	pure
scriptDesc	complex	pure
scriptNote	complex	mixed
scriptStmt	complex	pure
seal	complex	pure
sealDesc	complex	pure
secFol	complex	mixed
secl	-----	pure
seg	-----	pure
segmentation	complex	pure
sense	complex	mixed
sequence	complex	pure
series	complex	mixed
seriesStmt	-----	pure
set	complex	pure
setting	complex	pure
settingDesc	complex	pure
settlement	-----	pure
sex	complex	mixed
shift	complex	pure
sic	-----	pure
signatures	complex	mixed
signed	-----	pure
soCalled	-----	pure
socecStatus	complex	mixed
sound	complex	mixed
source	complex	mixed
sourceDesc	-----	pure
sourceDoc	-----	pure
sp	complex	pure
spGrp	complex	pure
space	-----	pure
span	complex	mixed
spanGrp	complex	pure
speaker	complex	mixed
specDesc	complex	pure
specGrp	complex	pure
specGrpRef	complex	pure
specList	complex	pure
sponsor	-----	pure
stage	complex	mixed
stamp	complex	mixed
standOff	-----	pure
state	complex	pure
stdVals	complex	pure
street	complex	mixed
stress	complex	mixed
string	complex	mixed
styleDefDecl	-----	pure
subc	complex	mixed
subst	complex	pure
substJoin	complex	pure
summary	complex	mixed
