preparedness	complex	mixed
principal	complex	mixed
profileDesc	complex	pure
projectDesc	complex	pure
prologue	complex	pure
pron	complex	mixed
provenance	complex	mixed
ptr	complex	pure
pubPlace	complex	mixed
publicationStmt	complex	pure
publisher	complex	mixed
punctuation	complex	pure
purpose	complex	mixed
q	complex	mixed
quotation	complex	pure
quote	complex	mixed
rb	complex	mixed
rdg	complex	mixed
rdgGrp	complex	pure
re	complex	mixed
recordHist	complex	pure
recording	complex	pure
recordingStmt	complex	pure
redo	complex	pure
ref	complex	mixed
refState	complex	pure
refsDecl	complex	pure
reg	complex	mixed
region	complex	mixed
relatedItem	complex	pure
relation	complex	pure
remarks	complex	pure
rendition	complex	mixed
repository	complex	mixed
residence	complex	mixed
resp	complex	mixed
respStmt	complex	pure
respons	complex	pure
restore	complex	mixed
retrace	complex	mixed
revisionDesc	complex	pure
rhyme	complex	mixed
role	complex	mixed
roleDesc	complex	mixed
roleName	complex	mixed
root	complex	pure
row	complex	pure
rs	complex	mixed
rt	complex	mixed
rubric	complex	mixed
ruby	complex	pure
s	complex	mixed
said	complex	mixed
salute	complex	mixed
samplingDecl	complex	pure
schemaRef	complex	pure
schemaSpec	complex	pure
scriptDesc	complex	pure
scriptNote	complex	mixed
scriptStmt	complex	pure
seal	complex	pure
sealDesc	complex	pure
secFol	complex	mixed
secl	complex	mixed
seg	complex	mixed
segmentation	complex	pure
sense	complex	mixed
sequence	complex	pure
series	complex	mixed
seriesStmt	complex	pure
set	complex	pure
setting	complex	pure
settingDesc	complex	pure
settlement	complex	mixed
sex	complex	mixed
shift	complex	pure
sic	complex	mixed
signatures	complex	mixed
signed	complex	mixed
soCalled	complex	mixed
socecStatus	complex	mixed
sound	complex	mixed
source	complex	mixed
sourceDesc	complex	pure
sourceDoc	complex	pure
sp	complex	pure
spGrp	complex	pure
space	complex	pure
span	complex	mixed
spanGrp	complex	pure
speaker	complex	mixed
specDesc	complex	pure
specGrp	complex	pure
specGrpRef	complex	pure
specList	complex	pure
sponsor	complex	mixed
stage	complex	mixed
stamp	complex	mixed
standOff	complex	pure
state	complex	pure
stdVals	complex	pure
street	complex	mixed
stress	complex	mixed
string	complex	mixed
styleDefDecl	complex	pure
subc	complex	mixed
subst	complex	pure
substJoin	complex	pure
summary	complex	mixed
superEntry	complex	pure
supplied	complex	mixed
support	complex	mixed
supportDesc	complex	pure
surface	complex	pure
surfaceGrp	complex	pure
surname	complex	mixed
surplus	complex	mixed
surrogates	complex	mixed
syll	complex	mixed
symbol	complex	pure
table	complex	pure
tag	complex	mixed
tagUsage	complex	mixed
tagsDecl	complex	pure
taxonomy	complex	pure
tech	complex	mixed
